datetime,station,date,flow,st_max_temp,st_min_temp,st_mean_temp,st_heat_deg_days,st_cool_deg_days,st_total_rain,st_total_snow,st_total_precip,st_total_snow_on_ground,st_dir_of_max_gust_10sdeg,st_spd_of_max_gust_kmh
1999-04-22,"""07SA004",4/22/1999,1.29,10.6,-9.5,0.6,17.4,0.0,0.0,1.0,1.0,1.0,,
1999-04-23,"""07SA004",4/23/1999,1.26,6.4,-6.7,-0.2,18.2,0.0,0.0,2.0,2.0,2.0,,
1999-04-24,"""07SA004",4/24/1999,1.23,-6.7,-12.5,-9.6,27.6,0.0,0.0,0.0,0.0,0.0,,
1999-04-25,"""07SA004",4/25/1999,1.2,-8.1,-12.5,-10.3,28.3,0.0,0.0,1.0,1.0,1.0,,
1999-04-26,"""07SA004",4/26/1999,1.18,-8.4,-16.4,-12.4,30.4,0.0,0.0,1.0,1.0,1.0,,
1999-04-27,"""07SA004",4/27/1999,1.16,-5.8,-23.6,-14.7,32.7,0.0,0.0,0.0,0.0,0.0,,
1999-04-28,"""07SA004",4/28/1999,1.14,-1.4,-23.3,-12.4,30.4,0.0,0.0,1.0,1.0,1.0,,
1999-04-29,"""07SA004",4/29/1999,1.13,4.1,-12.8,-4.4,22.4,0.0,0.0,0.0,0.0,0.0,,
1999-04-30,"""07SA004",4/30/1999,1.12,6.8,-1.1,2.9,15.1,0.0,0.0,0.0,0.0,0.0,,
1999-05-01,"""07SA004",5/1/1999,1.11,7.4,-3.2,2.1,15.9,0.0,0.0,0.0,0.0,0.0,,
1999-05-02,"""07SA004",5/2/1999,1.1,7.8,-2.3,2.8,15.2,0.0,0.0,0.0,0.0,0.0,,
1999-05-03,"""07SA004",5/3/1999,1.09,0.1,-2.9,-1.4,19.4,0.0,0.0,0.0,0.0,0.0,,
1999-05-04,"""07SA004",5/4/1999,1.08,-2.9,-7.8,-5.4,23.4,0.0,0.0,0.0,0.0,0.0,,
1999-05-05,"""07SA004",5/5/1999,1.07,-7.8,-9.6,-8.7,26.7,0.0,0.0,2.0,2.0,2.0,,
1999-05-06,"""07SA004",5/6/1999,1.06,-4.7,-10.3,-7.5,25.5,0.0,0.0,0.0,0.0,0.0,,
1999-05-07,"""07SA004",5/7/1999,1.05,-0.6,-13.3,-7.0,25.0,0.0,0.0,1.0,1.0,1.0,,
1999-05-08,"""07SA004",5/8/1999,1.05,4.6,-13.4,-4.4,22.4,0.0,0.0,0.0,0.0,0.0,,
1999-05-09,"""07SA004",5/9/1999,1.06,9.3,-12.2,-1.5,19.5,0.0,0.0,1.0,1.0,1.0,,
1999-05-10,"""07SA004",5/10/1999,1.14,14.1,-4.9,4.6,13.4,0.0,0.0,1.0,1.0,1.0,,
1999-05-11,"""07SA004",5/11/1999,1.52,9.7,0.4,5.1,12.9,0.0,0.0,0.0,0.0,0.0,,
1999-05-12,"""07SA004",5/12/1999,2.1,14.8,-2.3,6.3,11.7,0.0,0.0,1.0,1.0,1.0,,
1999-05-13,"""07SA004",5/13/1999,3.5,3.3,-0.3,1.5,16.5,0.0,2.0,0.0,2.0,2.0,,
1999-05-14,"""07SA004",5/14/1999,4.23,-0.2,-3.8,-2.0,20.0,0.0,0.0,4.0,4.0,4.0,,
1999-05-15,"""07SA004",5/15/1999,3.8,-2.1,-5.1,-3.6,21.6,0.0,0.0,0.0,0.0,0.0,,
1999-05-16,"""07SA004",5/16/1999,3.42,6.0,-8.3,-1.2,19.2,0.0,1.0,0.0,1.0,1.0,,
1999-05-17,"""07SA004",5/17/1999,3.33,7.0,-0.4,3.3,14.7,0.0,0.0,0.0,0.0,0.0,,
1999-05-18,"""07SA004",5/18/1999,3.84,3.2,-1.1,1.1,16.9,0.0,2.0,0.0,2.0,2.0,,
1999-05-19,"""07SA004",5/19/1999,4.57,9.4,-1.8,3.8,14.2,0.0,1.0,0.0,1.0,1.0,,
1999-05-20,"""07SA004",5/20/1999,5.52,6.8,-1.1,2.9,15.1,0.0,6.0,0.0,6.0,6.0,,
1999-05-21,"""07SA004",5/21/1999,6.36,3.0,-3.2,-0.1,18.1,0.0,0.0,0.0,0.0,0.0,,
1999-05-22,"""07SA004",5/22/1999,6.48,8.2,-2.1,3.1,14.9,0.0,0.0,0.0,0.0,0.0,,
1999-05-23,"""07SA004",5/23/1999,6.79,13.2,-1.7,5.8,12.2,0.0,0.0,0.0,0.0,0.0,,
1999-05-24,"""07SA004",5/24/1999,7.46,13.8,0.3,7.1,10.9,0.0,1.0,0.0,1.0,1.0,,
1999-05-25,"""07SA004",5/25/1999,8.52,13.6,3.5,8.6,9.4,0.0,5.0,0.0,5.0,5.0,,
1999-05-26,"""07SA004",5/26/1999,9.92,5.9,-0.6,2.7,15.3,0.0,1.4,0.0,1.4,1.4,,
1999-05-27,"""07SA004",5/27/1999,11.4,4.7,-1.5,1.6,16.4,0.0,0.0,0.0,0.0,0.0,,
1999-05-28,"""07SA004",5/28/1999,13.7,5.9,-3.5,1.2,16.8,0.0,0.0,0.0,0.0,0.0,,
1999-05-29,"""07SA004",5/29/1999,17.7,10.9,-3.9,3.5,14.5,0.0,0.0,0.0,0.0,0.0,,
1999-05-30,"""07SA004",5/30/1999,24.1,17.3,-1.5,7.9,10.1,0.0,0.0,0.0,0.0,0.0,,
1999-05-31,"""07SA004",5/31/1999,30.9,19.1,7.6,13.4,4.6,0.0,0.0,0.0,0.0,0.0,,
1999-06-01,"""07SA004",6/1/1999,37.3,20.5,1.5,11.0,7.0,0.0,,0.0,,,,
1999-06-02,"""07SA004",6/2/1999,43.2,15.8,3.1,9.5,8.5,0.0,,0.0,,,,
1999-06-03,"""07SA004",6/3/1999,48.1,18.8,3.5,11.2,6.8,0.0,,0.0,,,,
1999-06-04,"""07SA004",6/4/1999,53.1,10.8,4.1,7.5,10.5,0.0,,0.0,,,,
1999-06-05,"""07SA004",6/5/1999,60.9,4.1,2.3,3.2,14.8,0.0,,0.0,,,,
1999-06-06,"""07SA004",6/6/1999,68.9,2.3,-0.2,1.1,16.9,0.0,,0.0,,,,
1999-06-07,"""07SA004",6/7/1999,71.3,7.9,1.8,4.9,13.1,0.0,,0.0,,,,
1999-06-08,"""07SA004",6/8/1999,72.7,12.3,-0.4,6.0,12.0,0.0,,0.0,,,,
1999-06-09,"""07SA004",6/9/1999,73.4,12.9,4.2,8.6,9.4,0.0,,0.0,,,,
1999-06-10,"""07SA004",6/10/1999,73.7,12.3,6.2,9.3,8.7,0.0,,0.0,,,,
1999-06-11,"""07SA004",6/11/1999,73.3,12.3,2.9,7.6,10.4,0.0,,0.0,,,,
1999-06-12,"""07SA004",6/12/1999,72.4,15.6,0.4,8.0,10.0,0.0,,0.0,,,,
1999-06-13,"""07SA004",6/13/1999,71.0,18.9,1.1,10.0,8.0,0.0,,0.0,,,,
1999-06-14,"""07SA004",6/14/1999,69.2,20.8,4.8,12.8,5.2,0.0,,0.0,,,,
1999-06-15,"""07SA004",6/15/1999,67.1,23.2,8.5,15.9,2.1,0.0,,0.0,,,,
1999-06-16,"""07SA004",6/16/1999,65.2,26.5,8.0,17.3,0.7,0.0,,0.0,,,,
1999-06-17,"""07SA004",6/17/1999,63.1,30.9,10.8,20.9,0.0,2.9,,0.0,,,,
1999-06-18,"""07SA004",6/18/1999,60.7,29.9,10.2,20.1,0.0,2.1,,0.0,,,,
1999-06-19,"""07SA004",6/19/1999,58.3,30.8,12.8,21.8,0.0,3.8,,0.0,,,,
1999-06-20,"""07SA004",6/20/1999,55.9,29.4,12.7,21.1,0.0,3.1,,0.0,,,,
1999-06-21,"""07SA004",6/21/1999,53.5,22.8,12.5,17.7,0.3,0.0,,0.0,,,,
1999-06-22,"""07SA004",6/22/1999,51.1,12.5,7.9,10.2,7.8,0.0,,0.0,,,,
